contract_address,platform,temporal_tag
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,ethereum,30d
0x297c6470cc7a3fe5cf8e5d977c33a2d4b4d9b126,bnb,30d
0x51363F073b1E4920fdA7AA9E9d84BA97EdE1560e,bnb,14d
0x3010ccb5419F1EF26D40a7cd3F0d707a0fa127Dc,ethereum,14d
0x22af33fe49fd1fa80c7149773dde5890d3c76f3b,base,200d
0x3d4f0513e8a29669b960f9dbca61861548a9a760,bnb,200d
0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c,ethereum,1y
0x44ff8620b8cA30902395A7bD3F2407e1A091BF73,ethereum,1y
0x768BE13e1680b5ebE0024C42c896E3dB59ec0149,base,1y
0xA2cd3D43c775978A96BdBf12d733D5A1ED94fb18,ethereum,1y
0x93A2Db22B7c736B341C32Ff666307F4a9ED910F5,ethereum,30d
0x294559fa758c88d639fd085751e463fee7806eab,ethereum,14d
0x05be1d4c307c19450a6fd7ce7307ce72a3829a60,ethereum,200d
0x7300B37DfdfAb110d83290A29DfB31B1740219fE,base,14d
0x297c6470cc7a3fe5cf8e5d977c33a2d4b4d9b126,bnb,14d
0x22b1458e780f8fa71e2f84502cee8b5a3cc731fa,bnb,14d
0x0c03ce270b4826ec62e7dd007f0b716068639f7b,base,14d
0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4,base,200d
0x1111111111166b7fe7bd91427724b487980afc69,base,30d
0x9cb41fd9dc6891bae8187029461bfaadf6cc0c69,base,30d
0x208bf3e7da9639f1eaefa2de78c23396b0682025,bnb,200d
0x6f88DBed8f178F71F6A0C27Df10D4f0B8dDf4444,bnb,14d
0x051fb509e4a775fabd257611eea1efaed8f91359,ethereum,14d
0x6f88DBed8f178F71F6A0C27Df10D4f0B8dDf4444,bnb,30d
0x051fb509e4a775fabd257611eea1efaed8f91359,ethereum,30d
0x3ec2156d4c0a9cbdab4a016633b7bcf6a8d68ea2,base,30d
0x3ec2156d4c0a9cbdab4a016633b7bcf6a8d68ea2,base,14d
0xe4fae3faa8300810c835970b9187c268f55d998f,bnb,14d
0x0c5142bc58f9a61ab8c3d2085dd2f4e550c5ce0b,base,30d
0xa49fa5e8106e2d6d6a69e78df9b6a20aab9c4444,bnb,30d
0x6bf62ca91e397B5A7d1D6bCe97D9092065d7A510,bnb,30d
0x3ec2156D4c0A9CBdAB4a016633b7BcF6a8d68Ea2,base,14d
0xD82544bf0dfe8385eF8FA34D67e6e4940CC63e16,bnb,30d
0xED6E000dEF95780fb89734c07EE2ce9F6dcAf110,base,14d
