token_address,chain,perf_window
0xc0634090f2fe6c6d75e61be2b949464abb498973,base,174d
0x22af33fe49fd1fa80c7149773dde5890d3c76f3b,base,269d
0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,base,187d
0x9cb41fd9dc6891bae8187029461bfaadf6cc0c69,base,124d
0xf4d7fd100b5b03e51261a2e6a673632ef2c68896,base,22d
0x820c5f0fb255a1d18fd0ebb0f1ccefbc4d546da7,base,104d
0xf1fc9580784335b2613c1392a530c1aa2a69ba3d,base,98d
0xaea742f80922f7c94b8fd91686c9dfbdfe90d9e6,base,92d
0x06f71fb90f84b35302d132322a3c90e4477333b0,base,117d
0x6af73d4579c70a24d52e4f4b43eecb2a75019f94,base,81d
0xf3280115245a7470e7bbdd35e2b4f4094f511443,base,2d
0x04cafd53ecfa6f6a9168de3d6d2b837d04a51b07,base,26d
0x3ec2156d4c0a9cbdab4a016633b7bcf6a8d68ea2,base,98d
0x815269d17c10f0f3df7249370e0c1b9efe781aa8,base,19d
0x8dedf84656fa932157e27c060d8613824e7979e3,bnb,38d
0x696f9436b67233384889472cd7cd58a6fb5df4f1,bnb,44d
0x71725678d84c0f41f9a299405e269023cd28e967,base,2d
0x7d928816cc9c462dd7adef911de41535e444cb07,base,14d
0x767a739d1a152639e9ea1d8c1bd55fdc5b217d7f,base,30d
0xdfc5a61ca36e60ae2cdf32859f1ccaa5a00a1d09,base,3d
0x2b5050f01d64fbb3e4ac44dc07f0732bfb5ecadf,base,166d
0x051024b653e8ec69e72693f776c41c2a9401fb07,base,108d
0xc50673edb3a7b94e8cad8a7d4e0cd68864e33edf,ethereum,34d
0x0a8d6c86e1bce73fe4d0bd531e1a567306836ea5,bnb,20d
0x9f49034409ae6813d2c70ae5117fd23cdff2d190,ethereum,2d
0xe76c6c83af64e4c60245d8c7de953df673a7a33d,ethereum,34d
0xea87169699dabd028a78d4b91544b4298086baf6,base,149d
0x444450b7968a4c05048f8a87484608e193e91022,bnb,7d
0xeb2b7d5691878627eff20492ca7c9a71228d931d,bnb,68d
0x20d6015660b3fe52e6690a889b5c51f69902ce0e,bnb,25d
0xc44141a684f6aa4e36cd9264ab55550b03c88643,base,95d
0x6ec90334d89dbdc89e08a133271be3d104128edb,bnb,58d
0x3ec2156d4c0a9cbdab4a016633b7bcf6a8d68ea2,base,229d
0x444450b7968a4c05048f8a87484608e193e91022,bnb,8d
0xd9159ad2d5fe625cd1f54f4d328fb19cb5262b07,base,3d
0x306acd0c07c430abbbb2e74ef7bde94f32a898c0,base,21d
0x44449c3140a4e38fe6b7f2ecbbed9219ceaf5d4f,bnb,6d
0xbe29e78b18066b3bf7c70523371e0169350f6f53,base,130d
0xbb59167235bf3588b357de6cd98ca6f94d753c76,base,73d
0x096746e984e57ae9a2922a08fc969bbe76963a72,base,147d
0x55ff51da774b8ce0ed1abaed1cb76236bc6b2f16,base,160d
0x0db510e79909666d6dec7f5e49370838c16d950f,base,339d
0x1dd996287db5a95d6c9236efb10c7f90145e5b07,base,2d
0xbfa733702305280f066d470afdfa784fa70e2649,base,15d
0xcc9ad02796dec5f4f0710df80c1f011af85eb9e1,base,6d
0x1b5ce2a593a840e3ad3549a34d7b3dec697c114d,base,111d
0x1bc0c42215582d5a085795f4badbac3ff36d1bcb,base,8d
0xed6e000def95780fb89734c07ee2ce9f6dcaf110,bnb,104d
0xed6e000def95780fb89734c07ee2ce9f6dcaf110,base,104d
0xabebed1684a789b3cf178db810f3cbb30cc14444,bnb,2d
0xa023316fa5c85dadf008c611790b3235433e781e,bnb,6d
0xa023316fa5c85dadf008c611790b3235433e781e,base,6d
0x708c2b2eeb9578dfe4020895139e88f7654647ff,base,83d
0x73b84f7e3901f39fc29f3704a03126d317ab4444,bnb,24d
0x54eaf6bb665565bb8897f9d7ad5b3818ded143b4,base,6d
0x080212e31d4224e89bd94c1d5662452897741907,base,1d
0x55ff51da774b8ce0ed1abaed1cb76236bc6b2f16,base,18d
0xba5b9b2d2d06a9021eb3190ea5fb0e02160839a4,base,30d
0x5e9a7b0a5ea6cd086417355b81b8015e95844444,bnb,24d
0x924fa68a0fc644485b8df8abfa0a41c2e7744444,bnb,23d
0xd85c31854c2b0fb40aaa9e2fc4da23c21f829d46,base,6d
0xeb2b7d5691878627eff20492ca7c9a71228d931d,base,71d
0xeb2b7d5691878627eff20492ca7c9a71228d931d,bnb,71d
0xeb2b7d5691878627eff20492ca7c9a71228d931d,bnb,2d
0x69f7098f704d622e55ff87b4556b65eedb405841,bnb,9d
0x69f7098f704d622e55ff87b4556b65eedb405841,base,9d
0xdf2fd7dd75143a5010f145440d49748275e362a3,base,161d
0x71725678d84c0f41f9a299405e269023cd28e967,base,3d
0xdd78523217390bb0d49c7601e7e54c36d71622f0,base,16d
0x6555255b8ded3c538cb398d9e36769f45d7d3ea7,base,13d
0x45e57907058c707a068100de358ba4535b18e2f3,bnb,18d
0xa66b448f97cbf58d12f00711c02bac2d9eac6f7f,base,45d
0xa023316fa5c85dadf008c611790b3235433e781e,base,7d
0x73b84f7e3901f39fc29f3704a03126d317ab4444,bnb,2d
0xd955c9ba56fb1ab30e34766e252a97ccce3d31a6,bnb,14d
0x1111111111166b7fe7bd91427724b487980afc69,base,113d
0xfac77f01957ed1b3dd1cbea992199b8f85b6e886,base,77d
0x0b3ae50babe7ffa4e1a50569cee6bdefd4ccaee0,base,75d
0x98ac5b33a4ef1151f138941c979211599c2ff953,base,18d
0x616b416f777e3dc904a44aa259a475bf26d06ef9,base,87d
0xe47dd5197c5b5194cbe10b0333ed45570fb63eb0,base,10d
0x7f6f8bb1aa8206921e80ab6abf1ac5737e39ab07,base,1d
0xd85c31854c2b0fb40aaa9e2fc4da23c21f829d46,base,8d
0xf25e141578cf720f4f5309cd8059d1ecde267391,bnb,11d
0x44449eb99a54fb5f6de516ca4dc213602d50be33,bnb,8d
0x18b6f6049a0af4ed2bbe0090319174eeef89f53a,base,10d
0xac5bdcf2eecebec8da3af0ef76912e197c6e547e,base,1d
0xe1e93e92c0c2aff2dc4d7d4a8b250d973cad4444,bnb,1d
0x82ec31d69b3c289e541b50e30681fd1acad24444,bnb,23d
0xe92ca52d25a7d1fb4447fa5e90dbb9e216f1c72b,base,6d
0x1c4cca7c5db003824208adda61bd749e55f463a3,base,346d
0x1111111111166b7fe7bd91427724b487980afc69,base,110d
0xc0634090f2fe6c6d75e61be2b949464abb498973,base,180d
0xfac77f01957ed1b3dd1cbea992199b8f85b6e886,base,71d
0x0b3ae50babe7ffa4e1a50569cee6bdefd4ccaee0,base,80d
0xbb59167235bf3588b357de6cd98ca6f94d753c76,base,110d
0x98ac5b33a4ef1151f138941c979211599c2ff953,base,22d
0xac5bdcf2eecebec8da3af0ef76912e197c6e547e,base,3d
0x78d403a0044ef6d987791fafda8deab0efd18888,bnb,45d
0xd955c9ba56fb1ab30e34766e252a97ccce3d31a6,bnb,21d
0x444450b7968a4c05048f8a87484608e193e91022,bnb,13d
0x74ac77d7ca54c38eb5ea2e638a80a5182558d3a2,bnb,8d
0xedb6970b7be5a522cff14c8b679a2d813ff97b4d,base,9d
0xd09cf0982a32dd6856e12d6bf2f08a822ea5d91d,base,11d
0xd09cf0982a32dd6856e12d6bf2f08a822ea5d91d,base,7d
0x44442271e6ca7336a29032838d70675680adc7df,bnb,1d
0xd7ea1d4d2528fc6ff010006694c3489f386e2532,base,1d
0x7453190391f2e8c19198d06845210b78a0b34444,bnb,6d
0x7453190391f2e8c19198d06845210b78a0b34444,bnb,6d
