wallet,periode
0xf1f5b7b98d31b1542d5b50d07e7c54b48e775dcf,14d
0xeb4a71209c7747a942b71b2e7b8e2172ca04a4a6,14d
0xf308bd588011e29e11370bdf1112a948f0ce2c9c,14d
0x4bfefdc8f44f36ceb4545f51c5f0598d089accae,14d
0x0027133c118b3e6c3cca48f56baeb2ff98790508,14d
0x4b6727f8899a4de3a0891eba93019376bc7dbe16,14d
0x7b4fb3f1171dea74d654ec7901d57afba11bad51,14d
0x74b826df7fb2510f7d096fc4f54234ac6a3340dd,14d
0x936f4d2f8e5e84ccd1bf91294f85aa51713d639d,14d
0x4a7b944425114bcb539a3fe1346b26670845c355,14d
0x026b8207379216b167d84b6f628068041f816633,14d
0x80e178e86b26f63793279905579b8b4fd0e6e2ce,14d
0x8b59398d0b18ea3b62c26551305ab1f34a9f9598,14d
0xb7ff689217a058064833ad026a7e90a7f30e395b,14d
0xda0b72bca80908f953cb7b671049ca4bee1f416c,14d
0xc12ccd25b5d43ca16acccc5527c803be34354646,14d
0x2125999da488e152e7b1f8aa99bbaaa83a085dfa,14d
0x110804bb18cd320e301dc7dadcd41e871f4937a4,14d
0xbd64e8a8f9ed2d634c91f500442af7bad67bfd03,200d
0x9b6c02b5e62e979946a2b94eeb787c05b22d24b2,200d
0xff7974ed039d7858072a118fcae6be483f9f872d,200d
0x15f5341a9cb3ecc5c55415fd3c3d3c25639aca73,200d
0x45d133227e2f4f3ea5beb681bd078eda5ee72223,200d
0x01179ecdb07402542df97d015ec8506407df3787,200d
0x0552bbe603f016c6665b48ee9a552c56b5b382bb,200d
0xd39edda28fd23c5fe19b4455026933e84dd89ba7,200d
0x1689eb0c9332b626cf143a95457fe64a7b54c544,200d
0xd0ce021bceff33ca74c7b26a108fbbef75bc060d,200d
0x988f76aae80ed2a24d273187e684bbc9798460d9,200d
0x19f928a2ba7fe4745f05dcd3f2e89bc2584f931e,200d
0xaa90befc76b37f487eec5c1a593ea5b9826440be,200d
0xd4a2aee94345bfa6aa1bdd3b95e8dc9d14b2ea19,200d
0x765d8b32660ee32f766f2b5f6775b054155cf34b,200d
0xcc53455ee44ed7f9761202087e31941ebbe871b2,200d
0x61a7a87d9189578f34908e292e0fcf12e6308f0f,200d
0xd497ed50be7a80788898956f9a2677eda71d027e,200d
0xe46fa0733dbb3f46b7bd7a3455378a897c05446e,200d
0x30edec1c25218f5a748cccc54c562d7879e47caa,200d
0xd9c7a5e7167ff1e73ae3396164552ccee212d3da,200d
0x5c324717224ab76d82d3ff1a86f0d0fe20fed856,200d
0x41edf89cdae99e721bc54b887bc575cafd963f39,200d
0x257381a437266282006a2d234aec3e0f8746650a,200d
0x260dd2402e6c39c27449e8c03ec7f8adc0050843,200d
0xbc8f3ad27ba95d93c45258d0e6a075f4ec266171,200d
0x84e1056ed1b76fb03b43e924ef98833dba394b2b,200d
0x136883b2841d7de5c13ecee65788fde191da5f20,200d
0x3e45402f3c94aa08cdf33b24cd53abea35ce9abe,200d
0x91778450dfe4a291c4871ce646d4831e25f6ec6f,200d
0xe4cbda373d6a445f83fc9125c6230ba58bc08320,200d
0x0452009b6b04a4fcefbd73636692d115dde3a5ed,200d
0x776517e53c79d544d2860c08450574926d99952f,200d
0xe6a5f1690fcda05d9ba0a663b6e7ddf3c97eb7b1,200d
0x75d286ab5d77a0a06e3b67b53f10d6968976d5fd,200d
0xad5b932b9a2f3740f272648a641f736635d43f22,30d
0x1ca5aa5b1dd8d948bb0971a5fb1762fe172e0040,30d
0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,30d
0xdf39ed10a6a7e3e99d9c75dd9cd32ccadd577f92,30d
0x79fa1f70fbba4dd07510b21b32525b602fadf31c,30d
0x5b71d5fd6bb118665582dd87922bf3b9de6c75f9,30d
0x1a4fa2470fd64c3a313ef15bae3efb9fd29dd085,30d
0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,30d
0x24eb3a39856723138796c5068a17ba4fb15cd25e,30d
0x1bbeaa0b54dac7ce4c59435c662e173db43d2350,30d
0x99e4530a9965dcaca8aad011714ce1446667e4eb,30d
0xcfafb4f81fa8d448bebfc891dffae5d9df45993f,30d
0xab4f2fdca7521012edfee6e916778c6dae719bd3,30d
0xc3dcd744db3f114f0edf03682b807b78a227bf74,30d
0x0553a147319f093a7bfbd0e7dac588c475b4a8b4,30d
0xdffd504bd92b2a41c4710384307b4b0eb01be471,30d
0xd85b0f684c2c3b5d07db5149c4ec70ac56d73863,30d
0xd0ea6581a4f2b57ab35960c2c3133dd23395c190,30d
0x2c95c5ea5482d5450966e80eb6e1a862f1055d74,30d
0x9b6b68094b3b28093cc306b2aef3917038789406,30d
0x40e2767eb4606b693d5a19992073a30405b30445,30d
0x7cbe52d0c10ff2d91afc0c3f7689e61819e6387f,30d
0xd3d0e837f1aff3833bb3a0ad2ae58858b7ad8ebd,30d
0x00b97496700288c1bceb90ecc04a40c4aeac8bb4,30d
